id;fr;en;primary;secondary;weightType;includeBodyweight
6922144f1c858345acc2d20a;Fentes latérales;Side Lunge;quads;glutes|hamstrings|calves;external_free;false
6922144f1c858345acc2d20d;Soulevé de terre Jefferson;Jefferson Deadlift;hamstrings;glutes|spinal_erectors|quads;external_free;false
6922144f1c858345acc2d211;Curl poignets inversé;Reverse Wrist Curl;biceps;forearms;external_free;false
6922144f1c858345acc2d214;Extension triceps assis haltères;Seated Dumbbell Tricep Extension;triceps;deltoids_front;external_free;false
6922144f1c858345acc2d217;Squat goupilles;Pin Squat;quads;glutes|hamstrings|calves;external_free;false
6922144f1c858345acc2d21a;Crunchs latéraux;Side Crunch;abs;obliques|quads;external_free;false
6922144f1c858345acc2d21d;Rowing Yates;Yates Row;lats;upper_back|biceps|forearms;external_free;false
6922144f1c858345acc2d220;Squat avec pause;Pause Squat;quads;glutes|hamstrings|calves;external_free;false
6922144f1c858345acc2d223;Rowing inversé;Inverted Row;lats;upper_back|biceps|forearms;external_free;false
692214501c858345acc2d226;Shrug barre hexagonale;Hex Bar Shrug;traps;deltoids_side|forearms;external_free;false
692214501c858345acc2d229;Soulevé de terre une jambe haltères;Single Leg Dumbbell Deadlift;hamstrings;glutes|spinal_erectors|quads;external_free;false
692214501c858345acc2d22c;Shrug barre guidée;Smith Machine Shrug;traps;deltoids_side;external_machine;false
692214501c858345acc2d22f;Élévations frontales barre;Barbell Front Raise;deltoids_side;deltoids_front|deltoids_rear|triceps;external_free;false
692214501c858345acc2d232;Élévations latérales machine;Machine Lateral Raise;deltoids_side;deltoids_front|deltoids_rear|triceps;external_machine;false
692214501c858345acc2d235;Demi-squat;Half Squat;quads;glutes|hamstrings|calves;external_free;false
692214501c858345acc2d238;Flexions latérales haltères;Dumbbell Side Bend;obliques;abs;external_free;false
692214501c858345acc2d23b;Jeté fente;Split Jerk;quads;glutes|deltoids_front|triceps;external_free;false
692214501c858345acc2d23e;Développé log;Log Press;chest;deltoids_front|triceps;external_free;false
692214501c858345acc2d241;Développé couché goupilles;Bench Pin Press;chest;deltoids_front|triceps;external_free;false
692214501c858345acc2d244;Shrug explosif barre;Barbell Power Shrug;traps;deltoids_side|forearms;external_free;false
692214501c858345acc2d247;Développé JM;JM Press;chest;deltoids_front|triceps;external_free;false
692214501c858345acc2d24a;Shrug barre derrière le dos;Behind The Back Barbell Shrug;traps;deltoids_side|forearms;external_free;false
692214501c858345acc2d24e;Curl cou;Neck Curl;biceps;forearms;external_free;false
692214501c858345acc2d251;Tirage haut arraché;Clean High Pull;quads;glutes|hamstrings|traps|deltoids_front;external_free;false
692214501c858345acc2d255;Extension fessier;Glute Kickback;glutes;hamstrings;external_free;false
692214501c858345acc2d258;Soulevé de terre derrière le dos;Behind The Back Deadlift;hamstrings;glutes|spinal_erectors|quads;external_free;false
692214501c858345acc2d25b;Tirage épaulé;Clean Pull;quads;glutes|hamstrings|traps|deltoids_front;external_free;false
692214501c858345acc2d25e;Dips anneaux;Ring Dips;chest;deltoids_front|triceps;bodyweight_plus_external;true
692214501c858345acc2d261;Développé couché prise large;Wide Grip Bench Press;chest;deltoids_front|triceps;external_free;false
692214501c858345acc2d264;Squat Jefferson;Jefferson Squat;quads;glutes|hamstrings|calves;external_free;false
692214501c858345acc2d267;Extension de hanche;Hip Extension;glutes;hamstrings|spinal_erectors;bodyweight_plus_external;true
692214501c858345acc2d26a;Squat thrust;Squat Thrust;quads;glutes|hamstrings|calves;external_free;false
692214501c858345acc2d26d;Soulevé de terre une jambe;Single Leg Deadlift;hamstrings;glutes|spinal_erectors|quads;external_free;false
692214501c858345acc2d270;Rowing penché haltères;Bent Over Dumbbell Row;lats;upper_back|biceps|forearms;external_free;false
692214501c858345acc2d273;Pompes en V;Pike Push Up;chest;deltoids_front|triceps;bodyweight_plus_external;true
692214501c858345acc2d276;Développé Viking;Viking Press;chest;deltoids_front|triceps;external_free;false
692214501c858345acc2d279;Fentes marchées;Walking Lunge;quads;glutes|hamstrings|calves;external_free;false
692214501c858345acc2d27c;Pompes archer;Archer Push Ups;chest;deltoids_front|triceps;bodyweight_plus_external;true
692214501c858345acc2d27f;Extension triceps prise inversée;Reverse Grip Tricep Pushdown;triceps;deltoids_front;external_free;false
692214501c858345acc2d282;Arraché strict;Muscle Snatch;quads;glutes|hamstrings|traps|deltoids_front;external_free;false
692214501c858345acc2d285;Extension fessiers ischio machine;Glute Ham Raise;hamstrings;glutes|spinal_erectors;external_machine;false
692214501c858345acc2d288;Développé Z;Z Press;chest;deltoids_front|triceps;external_free;false
692214501c858345acc2d28b;Crunchs inversés;Reverse Crunches;abs;obliques|quads;external_free;false
692214501c858345acc2d28e;Curl triché;Cheat Curl;biceps;forearms;external_free;false
692214501c858345acc2d291;Développé incliné prise serrée;Close Grip Incline Bench Press;chest;deltoids_front|triceps;external_free;false
692214501c858345acc2d295;Relevés de jambes latéraux;Side Leg Raise;abs;obliques|quads;bodyweight_plus_external;false
692214501c858345acc2d298;Développé épaules goupilles;Shoulder Pin Press;chest;deltoids_front|triceps;external_free;false
692214501c858345acc2d29b;Soulevé de terre Zercher;Zercher Deadlift;hamstrings;glutes|spinal_erectors|quads;external_free;false
692214511c858345acc2d29e;Tirage arraché;Snatch Pull;quads;glutes|hamstrings|traps|deltoids_front;external_free;false
692214511c858345acc2d2a1;Curl nordique;Nordic Hamstring Curl;biceps;forearms;external_free;false
692214511c858345acc2d2a4;Rowing vertical poulie;Cable Upright Row;lats;upper_back|biceps|forearms;external_machine;false
692214511c858345acc2d2a7;Pull-over barre;Barbell Pullover;lats;upper_back|biceps|forearms;external_free;false
692214511c858345acc2d2aa;Shrug machine;Machine Shrug;traps;deltoids_side;external_machine;false
692214511c858345acc2d2ae;Arraché haltères;Dumbbell Snatch;quads;glutes|hamstrings|deltoids_front;external_free;false
692214511c858345acc2d2b1;Développé landmine;Landmine Press;chest;deltoids_front|triceps;external_free;false
692214511c858345acc2d2b4;Curl marteau incliné;Incline Hammer Curl;biceps;forearms;external_free;false
692214511c858345acc2d2b7;Kickback fessier poulie;Cable Kickback;glutes;hamstrings;external_machine;false
692214511c858345acc2d2ba;Extension cou;Neck Extension;neck;;external_free;false
692214511c858345acc2d2bd;Curl haltères assis;Seated Dumbbell Curl;biceps;forearms;external_free;false
692214511c858345acc2d2c0;Extension de jambes poulie;Cable Leg Extension;quads;;external_machine;false
